"question","A","B","C","D","answer","subject"
"The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.","(x − 2)(x + 2)(x − 1)","(x + 1)(x + 4)(x − 2)","(x + 1)(x − 4)(x − 2)","(x - 1)(x − 4)(x − 2)","C","abstract_algebra"
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].","2x^2 + 5","6x^2 + 4x + 6","0","x^2 + 1","B","abstract_algebra"
"Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.","True, True","False, False","True, False","False, True","A","abstract_algebra"
"Which cells in the blood do not have a nucleus?","Lymphocyte","Monocyte","Erythrocyte","Basophil","C","anatomy"
"The respiratory tract is crossed by the isthmus of the thyroid gland at the level of the","thyroid cartilage.","cricothyroid membrane.","cricoid cartilage.","tracheal rings.","D","anatomy"
"Complete bilateral cleft palate is due to failure of fusion of the","palatine processes.","palatine and frontonasal processes.","palatine, frontonasal and secondary nasal processes.","palatine, frontonasal, secondary nasal processes and mandibular processes.","C","anatomy"
"Most people use C°(degree Celsius) to measure everyday temperatures. Astronomers prefer to use K (Kelvin) to measure temperatures. Approximately how many Kelvin are 25 C°?","200 Kelvin","250 Kelvin","300 Kelvin","350 Kelvin","C","astronomy"
"Which of the following moons is NOT one of the Galilean moons?","Ganymede","Callisto","Europa","Dione","D","astronomy"
"What would weigh the most on the moon?","A kilogram of feathers","Five pounds of bricks as measured on Earth","Five kilograms of feathers","A kilogram of bricks","C","astronomy"
"Affirmative action involves ________ attempts to target ______ who are _________ within an organisation's workforce, for instance by trying to ______ the proportion of women, disabled or racial minorities in senior management positions.","Proactive, Groups, Under-represented, Increase","Passive, Groups, Under-represented, Retain","Proactive, Individuals, Represented, Increase","Passive, Individuals, Represented, Retain","A","business_ethics"
"The ISO 26000 standard on ________ is emblematic of a number of trends emerging within the shared global governance space. Specifically, these trends concern, more deliberation and ________, greater focus on the _______ rather than outcomes and more _______ rather than specific norms.","Social responsibility, Collaboration, Process, Frameworks","Social responsibility, Individualism, Process, Legislation","Environmental responsibility, Individualism, Inputs, Frameworks","Environmental responsibility, Collaboration, Inputs, Legislation","A","business_ethics"
"Replacing supply chains with _______ enhances the importance of product _______as well as a fundamental redesign of every activity a firm engages in that produces _______.","Supply loops, Recapture, Waste","Supply loops, Redesign, Profit","Global production networks, Recapture, Waste","Global production networks, Redesign, Profit","A","business_ethics"
"Which of the following is true about involuntary movements in the arm?","Alcohol makes the tremor of benign essential tremor worse","Hemiballismus is due to a stroke causing paralysis of the distal half of the arm","A 'milkmaid' grip is sometimes found in dystonia","Writer's cramp is an example of a focal dystonia","D","clinical_knowledge"
"The heart has:","two valves and two chambers.","four valves and four chambers.","two valves and four chambers.","four valves and two chambers.","B","clinical_knowledge"
"Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?","Unilateral constricted pupil.","Bilateral constricted pupils.","Unilateral fixed dilated pupil.","Oval shaped pupils.","C","clinical_knowledge"
"All of the following might be found in connective tissue EXCEPT","thrombin","glycosaminoglycans","collagens","fibroblasts","A","college_biology"
"Cell motility, as viewed in a cultured fibroblast, encompasses all of the following EXCEPT","adhesion plaques","vinculin","clathrin","lamellipodia","C","college_biology"
"Which of the following techniques could be used to demonstrate protein binding to specific DNA sequences?","Western blot hybridization","Northern blot hybridization","Southern blot hybridization","Electrophoretic mobility shift assay","D","college_biology"
"A student performs five titrations and obtains a mean result of 0.110 M, with a standard deviation of 0.001 M. If the actual concentration of the titrated solution is 0.100 M, which of the following is true about the titration results?","Accurate but not precise","Precise but not accurate","Both accurate and precise","Neither accurate nor precise","B","college_chemistry"
"On the basis of oxidation-reduction potential, which of the following is most likely to occur?","Al(s) + 3 NaNO3(aq) 3 Na(s) + Al(NO3)3(aq)","Zn(s) + 2 Ag(NO3)(aq) → 2 Ag(s) + Zn(NO3)2(aq)","Pb(s) + Ca(NO3)2(aq) → Ca(s) + Pb(NO3)2(aq)","Pb(s) + 2 LiNO3(aq) → 2 Li(s) + Pb(NO3)2(aq)","B","college_chemistry"
